method,alpha,calib_frac,runs,coverage_mean,coverage_std,abs_coverage_gap_mean,abs_coverage_gap_std,mean_set_size_mean,mean_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std,singleton_rate_mean,singleton_rate_std,ece_top1_mean,ece_top1_std
mondrian_domain,0.05,0.1,5,0.9675236992823191,0.011328360849814922,0.01752369928231919,0.011328360849814902,10.428480877322752,0.778853714692979,0.5913906041000815,0.03312356310203842,0.0008114756454639601,0.001113164207786535,0.06956778346380893,0.03199156745101079,0.11695931543585769,0.014866246277936092
mondrian_domain,0.05,0.25,5,0.9627910246468934,0.014156424850904292,0.01670855042008928,0.0074798183487477365,9.570994248466814,1.0537690527761323,0.6076393750678991,0.016973637086663596,0.00206316877742602,0.0020772913575796068,0.1110840326451245,0.035473167659303556,0.10082628864678198,0.023948763656609057
mondrian_domain,0.05,0.4,5,0.9526048006900275,0.013775155608052871,0.010516827630620982,0.0077447766949272,8.896330637314431,1.318068773570237,0.6240905317139733,0.038806049315760476,0.00244146326077022,0.0016992740191694544,0.13321348914281214,0.044494995916437685,0.1004792961102392,0.02953157544041632
mondrian_domain,0.1,0.1,5,0.9048960985490083,0.033696740150326566,0.023655722158931157,0.02158572524690668,6.288922773425809,1.5726434724459792,0.5913906041000815,0.03312356310203842,0.006447090861917459,0.005844958506078881,0.18905316827716365,0.08095368936299659,0.11695931543585769,0.014866246277936092
mondrian_domain,0.1,0.25,5,0.9140887319406268,0.022611923694970844,0.020348823854674757,0.01555060328315294,6.548424137120476,1.5126539615414887,0.6076393750678991,0.016973637086663596,0.008399795703178602,0.007446907612273204,0.20534402728937967,0.06282812773326156,0.10082628864678198,0.023948763656609057
mondrian_domain,0.1,0.4,5,0.8978141460218885,0.02175277879259688,0.019280887950059257,0.003803292263060615,6.0418520728653755,1.170909812144404,0.6240905317139733,0.038806049315760476,0.008809194370839562,0.005676045695554568,0.22002544861617618,0.07344851406846084,0.1004792961102392,0.02953157544041632
mondrian_domain,0.2,0.1,5,0.8226701185778694,0.026668568899694774,0.029696066681661713,0.015852758186636163,3.762994480829201,1.0693215183100249,0.5913906041000815,0.03312356310203842,0.03239927561150266,0.019826267455904552,0.32228592870990813,0.10033421810308447,0.11695931543585769,0.014866246277936092
mondrian_domain,0.2,0.25,5,0.8114161212336267,0.020461010497508463,0.01655668348262252,0.015456649723518406,3.472834978538142,0.8311238437389762,0.6076393750678991,0.016973637086663596,0.04234770500314286,0.03265361076858244,0.3560955414522776,0.09100744078789182,0.10082628864678198,0.023948763656609057
mondrian_domain,0.2,0.4,5,0.8100455207528471,0.022501096449536805,0.0189170326349254,0.013605965448569506,3.2495344615906987,0.6534735101394696,0.6240905317139733,0.038806049315760476,0.04702486666584772,0.03917629207484535,0.38828078599301846,0.09562237302341581,0.1004792961102392,0.02953157544041632
prompt_only_top1,0.05,0.1,5,0.5913906041000815,0.03312356310203842,0.3586093958999184,0.03312356310203844,1.0,0.0,0.5913906041000815,0.03312356310203842,0.4086093958999185,0.033123563102038414,1.0,0.0,0.11695931543585769,0.014866246277936092
prompt_only_top1,0.05,0.25,5,0.6076393750678991,0.016973637086663596,0.34236062493210084,0.016973637086663617,1.0,0.0,0.6076393750678991,0.016973637086663596,0.3923606249321009,0.016973637086663593,1.0,0.0,0.10082628864678198,0.023948763656609057
prompt_only_top1,0.05,0.4,5,0.6240905317139733,0.038806049315760476,0.3259094682860265,0.038806049315760455,1.0,0.0,0.6240905317139733,0.038806049315760476,0.37590946828602656,0.038806049315760476,1.0,0.0,0.1004792961102392,0.02953157544041632
