n,coverage,noncoverage_rate,mean_set_size,median_set_size,p90_set_size,top1_accuracy,singleton_rate,abstain_rate,empty_set_rate,fail_to_abstain_rate,ece_top1,unsafe_n,unsafe_coverage,unsafe_fail_to_abstain_rate,target_coverage,coverage_gap,abs_coverage_gap,method,alpha,tau_or_k,temperature,device,seed,calib_frac,n_calib,result_file
483,0.6107660455486542,0.3892339544513458,1.0,1.0,1.0,0.6107660455486542,1.0,0.0,0.0,0.3892339544513457,0.1062353815283363,349,0.670487106017192,0.329512893982808,0.9,-0.2892339544513458,0.2892339544513458,prompt_only_top1,0.1,1,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.10.csv
483,0.8757763975155279,0.124223602484472,5.217391304347826,5.0,10.0,0.6107660455486542,0.2132505175983436,0.7867494824016563,0.0,0.0082815734989648,0.1062353815283363,349,0.9340974212034384,0.0114613180515759,0.9,-0.024223602484472,0.024223602484472,coras,0.1,0.9881854295220809,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.10.csv
483,0.9399585921325052,0.0600414078674947,9.109730848861284,10.0,12.0,0.6107660455486542,0.062111801242236,0.937888198757764,0.0,0.0,0.1062353815283363,349,0.97134670487106,0.0,0.9,0.0399585921325051,0.0399585921325051,coras_aps,0.1,0.9963832404305751,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.10.csv
483,0.8799171842650103,0.1200828157349896,5.614906832298137,5.0,11.0,0.6107660455486542,0.2525879917184265,0.7474120082815735,0.0,0.0082815734989648,0.1062353815283363,349,0.9426934097421203,0.0085959885386819,0.9,-0.0200828157349897,0.0200828157349897,mondrian_domain,0.1,"{'__global__': 0.9881854295220809, np.str_('target_camera_shift'): 0.9952248024585444, np.str_('target_lighting_shift'): 0.9714517019941065, np.str_('target_occluded'): 0.9546189698217908}",,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.10.csv
483,0.4824016563146998,0.5175983436853002,1.0,1.0,1.0,0.4824016563146998,1.0,0.0,0.0,0.5175983436853002,0.2257364028016659,349,0.5272206303724928,0.4727793696275071,0.8,-0.3175983436853002,0.3175983436853002,top1_singleton,0.2,1,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.20.csv
483,0.7991718426501035,0.2008281573498964,6.0,6.0,6.0,0.4824016563146998,0.0,1.0,0.0,0.0,0.2257364028016659,349,0.8767908309455588,0.0,0.8,-0.0008281573498964,0.0008281573498964,topk_calibrated,0.2,6,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.20.csv
483,0.7556935817805382,0.2443064182194617,3.782608695652174,4.0,7.0,0.4824016563146998,0.2422360248447205,0.7577639751552795,0.0,0.0393374741200828,0.2257364028016659,349,0.839541547277937,0.0257879656160458,0.8,-0.0443064182194617,0.0443064182194617,vanilla_conformal,0.2,0.9826906973895551,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.20.csv
483,0.8467908902691511,0.1532091097308489,6.786749482401656,8.0,10.0,0.4824016563146998,0.1573498964803312,0.8426501035196687,0.0,0.010351966873706,0.2257364028016659,349,0.9140401146131804,0.0028653295128939,0.8,0.046790890269151,0.046790890269151,aps_conformal,0.2,0.9902359542823923,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.20.csv
483,0.7639751552795031,0.2360248447204969,3.927536231884058,4.0,6.0,0.4824016563146998,0.165631469979296,0.8343685300207039,0.0,0.020703933747412,0.0646566773463181,349,0.8452722063037249,0.0143266475644699,0.8,-0.0360248447204969,0.0360248447204969,temperature_conformal,0.2,0.9498172423436106,1.8830331563949585,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.20.csv
483,0.6107660455486542,0.3892339544513458,1.0,1.0,1.0,0.6107660455486542,1.0,0.0,0.0,0.3892339544513457,0.1062353815283363,349,0.670487106017192,0.329512893982808,0.8,-0.1892339544513458,0.1892339544513458,prompt_only_top1,0.2,1,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.20.csv
