n,coverage,noncoverage_rate,mean_set_size,median_set_size,p90_set_size,top1_accuracy,singleton_rate,abstain_rate,empty_set_rate,fail_to_abstain_rate,ece_top1,unsafe_n,unsafe_coverage,unsafe_fail_to_abstain_rate,method,alpha,domain,seed,target_coverage,coverage_gap,result_file
162,0.8827160493827161,0.1172839506172839,9.160493827160494,10.0,11.0,0.4135802469135802,0.0308641975308641,0.9691358024691358,0.0,0.0,0.1677504724633364,117,0.9145299145299144,0.0,aps_conformal,0.1,target_lighting_shift,0,0.9,-0.0172839506172839,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
93,0.967741935483871,0.032258064516129,7.408602150537634,8.0,12.0,0.6559139784946236,0.1182795698924731,0.8817204301075269,0.0,0.0,0.1554486524808995,83,0.9759036144578314,0.0,aps_conformal,0.1,target_occluded,0,0.9,0.0677419354838709,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
246,0.8414634146341463,0.1585365853658537,6.154471544715447,6.0,10.0,0.5203252032520326,0.024390243902439,0.975609756097561,0.0,0.0040650406504065,0.0781183609032447,176,0.9488636363636364,0.0,temperature_conformal,0.1,target_camera_shift,0,0.9,-0.0585365853658537,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
162,0.8333333333333334,0.1666666666666666,7.839506172839506,8.0,10.0,0.4135802469135802,0.0246913580246913,0.9753086419753086,0.0,0.0,0.1946429406154046,117,0.8974358974358975,0.0,temperature_conformal,0.1,target_lighting_shift,0,0.9,-0.0666666666666666,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
93,0.935483870967742,0.0645161290322581,5.903225806451613,6.0,9.0,0.6559139784946236,0.0967741935483871,0.9032258064516128,0.0,0.0,0.1251638404453479,83,0.9518072289156626,0.0,temperature_conformal,0.1,target_occluded,0,0.9,0.0354838709677418,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
246,0.5121951219512195,0.4878048780487805,1.0,1.0,1.0,0.5121951219512195,1.0,0.0,0.0,0.4878048780487805,0.1811517323352262,176,0.5795454545454546,0.4204545454545454,prompt_only_top1,0.1,target_camera_shift,0,0.9,-0.3878048780487805,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
162,0.7592592592592593,0.2407407407407407,1.0,1.0,1.0,0.7592592592592593,1.0,0.0,0.0,0.2407407407407407,0.0702497456978284,117,0.7948717948717948,0.2051282051282051,prompt_only_top1,0.1,target_lighting_shift,0,0.9,-0.1407407407407407,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
93,0.6774193548387096,0.3225806451612903,1.0,1.0,1.0,0.6774193548387096,1.0,0.0,0.0,0.3225806451612903,0.1232857505324199,83,0.7108433734939759,0.2891566265060241,prompt_only_top1,0.1,target_occluded,0,0.9,-0.2225806451612904,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
246,0.7845528455284553,0.2154471544715447,4.634146341463414,5.0,8.0,0.5121951219512195,0.1422764227642276,0.8577235772357723,0.0,0.024390243902439,0.1811517323352262,176,0.8806818181818182,0.0284090909090909,coras,0.1,target_camera_shift,0,0.9,-0.1154471544715447,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
162,0.925925925925926,0.074074074074074,3.9876543209876543,2.0,9.0,0.7592592592592593,0.4506172839506173,0.5493827160493827,0.0,0.0061728395061728,0.0702497456978284,117,0.9572649572649572,0.0,coras,0.1,target_lighting_shift,0,0.9,0.0259259259259259,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
93,0.935483870967742,0.0645161290322581,3.655913978494623,3.0,7.799999999999997,0.6774193548387096,0.3655913978494624,0.6344086021505376,0.0,0.0,0.1232857505324199,83,0.9397590361445785,0.0,coras,0.1,target_occluded,0,0.9,0.0354838709677418,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
246,0.902439024390244,0.097560975609756,9.211382113821138,10.0,12.0,0.5121951219512195,0.024390243902439,0.975609756097561,0.0,0.0,0.1811517323352262,176,0.9772727272727272,0.0,coras_aps,0.1,target_camera_shift,0,0.9,0.0024390243902439,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
162,0.9444444444444444,0.0555555555555555,7.216049382716049,9.0,11.0,0.7592592592592593,0.1851851851851851,0.8148148148148148,0.0,0.0,0.0702497456978284,117,0.9743589743589745,0.0,coras_aps,0.1,target_lighting_shift,0,0.9,0.0444444444444444,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
93,0.989247311827957,0.010752688172043,7.236559139784946,9.0,12.0,0.6774193548387096,0.1935483870967742,0.8064516129032258,0.0,0.0,0.1232857505324199,83,0.9879518072289156,0.0,coras_aps,0.1,target_occluded,0,0.9,0.0892473118279569,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
246,0.8048780487804879,0.1951219512195121,4.9105691056910565,5.0,8.5,0.5121951219512195,0.1260162601626016,0.8739837398373984,0.0,0.0121951219512195,0.1811517323352262,176,0.9090909090909092,0.0113636363636363,mondrian_domain,0.1,target_camera_shift,0,0.9,-0.0951219512195121,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
162,0.925925925925926,0.074074074074074,3.9876543209876543,2.0,9.0,0.7592592592592593,0.4506172839506173,0.5493827160493827,0.0,0.0061728395061728,0.0702497456978284,117,0.9572649572649572,0.0,mondrian_domain,0.1,target_lighting_shift,0,0.9,0.0259259259259259,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
93,0.8602150537634409,0.1397849462365591,2.032258064516129,2.0,4.0,0.6774193548387096,0.4946236559139785,0.5053763440860215,0.0,0.043010752688172,0.1232857505324199,83,0.8674698795180723,0.036144578313253,mondrian_domain,0.1,target_occluded,0,0.9,-0.0397849462365591,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
246,0.5203252032520326,0.4796747967479674,1.0,1.0,1.0,0.5203252032520326,1.0,0.0,0.0,0.4796747967479675,0.2699891478002158,176,0.5909090909090909,0.4090909090909091,top1_singleton,0.2,target_camera_shift,0,0.8,-0.2796747967479674,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
162,0.4135802469135802,0.5864197530864197,1.0,1.0,1.0,0.4135802469135802,1.0,0.0,0.0,0.5864197530864198,0.1677504724633364,117,0.4700854700854701,0.5299145299145299,top1_singleton,0.2,target_lighting_shift,0,0.8,-0.3864197530864198,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
93,0.6559139784946236,0.3440860215053763,1.0,1.0,1.0,0.6559139784946236,1.0,0.0,0.0,0.3440860215053763,0.1554486524808995,83,0.6506024096385542,0.3493975903614458,top1_singleton,0.2,target_occluded,0,0.8,-0.1440860215053764,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
246,0.7967479674796748,0.2032520325203252,5.0,5.0,5.0,0.5203252032520326,0.0,1.0,0.0,0.0,0.2699891478002158,176,0.9147727272727272,0.0,topk_calibrated,0.2,target_camera_shift,0,0.8,-0.0032520325203252,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
162,0.7037037037037037,0.2962962962962963,5.0,5.0,5.0,0.4135802469135802,0.0,1.0,0.0,0.0,0.1677504724633364,117,0.7692307692307693,0.0,topk_calibrated,0.2,target_lighting_shift,0,0.8,-0.0962962962962963,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
93,0.9032258064516128,0.0967741935483871,5.0,5.0,5.0,0.6559139784946236,0.0,1.0,0.0,0.0,0.1554486524808995,83,0.9156626506024096,0.0,topk_calibrated,0.2,target_occluded,0,0.8,0.1032258064516128,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
246,0.7601626016260162,0.2398373983739837,3.073170731707317,3.0,6.0,0.5203252032520326,0.3252032520325203,0.6747967479674797,0.0,0.0772357723577235,0.2699891478002158,176,0.875,0.0511363636363636,vanilla_conformal,0.2,target_camera_shift,0,0.8,-0.0398373983739838,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
162,0.7530864197530864,0.2469135802469135,4.7407407407407405,5.0,7.0,0.4135802469135802,0.0679012345679012,0.9320987654320988,0.0,0.0,0.1677504724633364,117,0.811965811965812,0.0,vanilla_conformal,0.2,target_lighting_shift,0,0.8,-0.0469135802469136,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
93,0.8924731182795699,0.1075268817204301,3.010752688172043,2.0,6.799999999999997,0.6559139784946236,0.3870967741935484,0.6129032258064516,0.0,0.032258064516129,0.1554486524808995,83,0.9036144578313252,0.0240963855421686,vanilla_conformal,0.2,target_occluded,0,0.8,0.0924731182795698,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.20.csv
