method,alpha,n,token_coverage,mean_set_size,mean_codebook_quant_l2,p90_codebook_quant_l2,top1_action_l2_mean,top1_action_l2_p90,set_oracle_action_l2_mean,set_oracle_action_l2_p90,action_l2_improvement_vs_top1,mean_set_action_diameter,p90_set_action_diameter,empty_set_rate,file,run_dir
top1_singleton,0.1,2863,0.0586797066014669,1.0,0.3290784955024719,0.5555260181427002,0.7952536940574646,1.2395658493041992,0.7952536919521486,1.23956573009491,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed1_calib0.40
topk_calibrated,0.1,2863,0.9070904645476772,49.0,0.3290784955024719,0.5555260181427002,0.7952536940574646,1.2395658493041992,0.3262961712287536,0.5558098196983338,0.4689575207233949,2.0591768794987444,2.124490737915039,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed1_calib0.40
vanilla_conformal,0.1,2863,0.918966119455117,49.97275585050646,0.3290784955024719,0.5555260181427002,0.7952536940574646,1.2395658493041992,0.3261994118579421,0.5585463643074036,0.4690542800942064,2.04436868685257,2.124490737915039,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed1_calib0.40
aps_conformal,0.1,3744,0.8677884615384616,48.13808760683761,0.3771830797195434,0.6644526124000549,0.8650770783424377,1.347946286201477,0.3787785044129496,0.6896731615066533,0.4862985566035052,1.9832788727158663,2.124490737915039,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed2_calib0.10
coras,0.1,3744,0.8480235042735043,46.48477564102564,0.3771830797195434,0.6644526124000549,0.8655560612678528,1.3527404069900513,0.3782003348552458,0.686198937892914,0.4873557283123159,1.9703430246529925,2.124490737915039,0.0,prediction_sets_coras_alpha0.10.csv,seed2_calib0.10
coras_aps,0.1,3744,0.8512286324786325,46.67628205128205,0.3771830797195434,0.6644526124000549,0.8655560612678528,1.3527404069900513,0.377521245103801,0.686198937892914,0.4880348180637607,1.9756500814587643,2.124490737915039,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed2_calib0.10
mondrian_domain,0.1,3744,0.8482905982905983,46.5,0.3771830797195434,0.6644526124000549,0.8655560612678528,1.3527404069900513,0.3781897592038398,0.6918613255023958,0.487366303963722,1.9635097173353036,2.124490737915039,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed2_calib0.10
prompt_only_top1,0.1,3744,0.0608974358974358,1.0,0.3771830797195434,0.6644526124000549,0.8655560612678528,1.3527404069900513,0.8655560631675618,1.3527404665946965,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed2_calib0.10
temperature_conformal,0.1,3744,0.8723290598290598,47.98557692307692,0.3771830797195434,0.6644526124000549,0.8650770783424377,1.347946286201477,0.3769842380059298,0.6835895717144015,0.488092823010525,1.983166721291267,2.124490737915039,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed2_calib0.10
top1_singleton,0.1,3744,0.0446047008547008,1.0,0.3771830797195434,0.6644526124000549,0.8650770783424377,1.347946286201477,0.8650770610164549,1.3479462623596192,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed2_calib0.10
topk_calibrated,0.1,3744,0.8766025641025641,48.0,0.3771830797195434,0.6644526124000549,0.8650770783424377,1.347946286201477,0.3757406688600273,0.6688561499118805,0.4893363921564275,1.9943735684849255,2.124490737915039,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed2_calib0.10
vanilla_conformal,0.1,3744,0.8661858974358975,48.53071581196581,0.3771830797195434,0.6644526124000549,0.8650770783424377,1.347946286201477,0.3796342773122701,0.6922272801399232,0.4854427837041847,1.9828334133594463,2.124490737915039,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed2_calib0.10
aps_conformal,0.1,3329,0.8894562931811355,49.0105136677681,0.3323724269866943,0.5942272543907166,0.7619702219963074,1.2404005527496338,0.3311779191418161,0.6004604220390322,0.4307922696153115,2.000639623333721,2.124490737915039,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed2_calib0.25
coras,0.1,3329,0.914388705316912,50.75037548813457,0.3323724269866943,0.5942272543907166,0.7601231932640076,1.2663524150848389,0.3287887750979603,0.5890249133110048,0.4313344279945917,2.0220278257649023,2.124490737915039,0.0,prediction_sets_coras_alpha0.10.csv,seed2_calib0.25
coras_aps,0.1,3329,0.9152898768398918,51.06969059777711,0.3323724269866943,0.5942272543907166,0.7601231932640076,1.2663524150848389,0.3285742352514358,0.5882073760032658,0.4315489678411163,2.024751084887183,2.124490737915039,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed2_calib0.25
mondrian_domain,0.1,3329,0.9020726945028535,48.88465004505858,0.3323724269866943,0.5942272543907166,0.7601231932640076,1.2663524150848389,0.3300819353945497,0.5959151625633241,0.4300412676980023,2.0070994101905653,2.124490737915039,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed2_calib0.25
prompt_only_top1,0.1,3329,0.1024331631120456,1.0,0.3323724269866943,0.5942272543907166,0.7601231932640076,1.2663524150848389,0.7601232030925521,1.2663524627685547,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed2_calib0.25
temperature_conformal,0.1,3329,0.8885551216581556,48.62240913187144,0.3323724269866943,0.5942272543907166,0.7619702219963074,1.2404005527496338,0.3313991811756491,0.6021212220191957,0.4305710075814786,1.998751613391201,2.124490737915039,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed2_calib0.25
top1_singleton,0.1,3329,0.1003304295584259,1.0,0.3323724269866943,0.5942272543907166,0.7619702219963074,1.2404005527496338,0.7619701887571277,1.240400552749634,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed2_calib0.25
topk_calibrated,0.1,3329,0.8834484830279363,48.0,0.3323724269866943,0.5942272543907166,0.7619702219963074,1.2404005527496338,0.3319077352294068,0.6010923624038699,0.4300624535277208,2.0087487733052565,2.124490737915039,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed2_calib0.25
